Data,Instagram,Twitter,LinkedIn,Youtube,Facebook,E-mails,WhatsApp,Endereço,Ofícios,Tiktok,Adriana,Leo,Marina,Bragante,Marco A
10/08/2024,45909,13156,6128,820,23803,3848,3944,1403,1808,,,,,,
01/07/2025,62270,13156,6412,844,23921,3928,4235,1496,2495,,,,,,
01/14/2025,64843,13158,6412,845,23939,3930,4249,1503,2534,,,,,,
01/23/2025,68456,13149,6424,845,23974,3931,4264,1509,2653,,,,,,
01/28/2025,70561,13147,6428,848,23992,3957,4268,1509,2684,,,,,,
02/10/2025,72198,13141,6441,850,24019,3970,4291,1527,2762,,,,,,
02/17/2025,72651,13149,6450,853,24031,4253,4291,1527,2762,,,,,,
02/24/2025,73585,13207,6461,871,24061,10261,4304,1531,2826,,,,,,
03/10/2025,74357,14050,6482,874,24089,11280,4329,1547,2929,,,,,,
03/17/2025,74572,14048,6488,874,24072,11393,4336,1550,2950,,,,,,
03/31/2025,75224,14038,6492,880,24074,11393,4369,1564,3089,66389,,,,,
04/07/2025,75757,14071,6499,880,24089,11393,4369,1564,3089,66605,,,,,
04/14/2025,77533,14105,6498,881,24123,11393,4390,1573,3137,67180,,,,,
04/23/2025,78725,14090,6510,883,24352,11393,4413,1591,3192,67264,,,,,
04/29/2025,79987,14564,6515,885,"24,796",11393,4423,1597,3234,67362,"124,481",368341,"439,614",,
05/04/2025,81401,14734,6531,887,25265,11393,4437,1609,3280,67347,124516,370070,442232,,
05/13/2025,81547,14732,6535,889,25500,11393,4469,1641,3350,67340,124640,371814,444085,,
05/20/2025,83279,14714,6537,904,26785,11393,4490,1657,3415,68246,124670,373575,445810,,
05/27/2025,84027,14703,6557,907,27002,11393,4529,1685,3456,68326,124770,379925,448367,,
06/03/2025,84869,14711,6566,966,27042,11393,4618,1731,3513,68354,124823,381301,458526,,
06/10/2025,85869,14793,6581,969,27092,11393,4663,1761,3552,68404,124884,381721,468550,,
06/17/2025,87424,14793,6584,970,27233,11393,4717,1800,3603,68389,124941,381355,474002,,
06/24/2025,90830,14789,6587,978,29593,11393,4752,1828,3642,68398,125005,380993,479358,,
07/01/2025,92286,14777,6593,986,30245,11393,4801,1870,3726,68395,125079,380729,489973,,
07/08/2025,93808,14828,6597,991,30732,11393,4851,1913,3809,68428,125201,380831,495424,,
07/15/2025,95500,14801,6599,993,30832,3413,4878,1931,3854,68414,125480,381236,502844,,
07/22/2025,97812,14794,6606,994,30975,3413,4909,1951,3908,68433,131662,380787,514205,,
07/29/2025,99837,14774,6625,993,31196,3907,4935,1971,3960,68423,132808,380446,534692,,
08/02/2025,100831,14774,6633,993,31258,4606,4929,1967,3957,68420,133534,380071,543257,,
08/09/2025,102033,14758,6649,995,31424,4652,4958,1978,3993,68400,136421,379718,556959,,
08/16/2025,107182,14756,6652,996,32074,4668,5028,1987,4031,69323,136840,379333,568739,,
08/23/2025,111430,14750,6658,998,32324,4673,5045,2002,4085,71714,137080,378963,573209,,
08/30/2025,115782,14744,6670,1000,32361,4960,5065,2017,4150,72231,137208,390692,577921,,
09/06/2025,117645,14805,6674,1000,32392,4962,5114,2053,4150,72294,139141,400241,585776,,
09/13/2025,119449,14793,6676,1000,32424,4968,5179,2105,4231,72310,139419,403221,596055,,
09/20/2025,122219,14796,6701,1000,32493,4973,5209,2132,4285,72338,140311,405992,610065,,
09/27/2025,123394,14791,6710,1000,32547,4982,5240,2157,4342,72353,140473,408784,616076,,
10/04/2025,125163,14792,6712,1000,32558,5140,5302,2195,4422,72397,140898,409682,621910,,
10/11/2025,126795,14863,6720,1000,32572,5144,5353,2240,4499,72443,141102,410808,623713,,
10/18/2025,128420,14884,6726,1000,32565,5149,5437,2299,4606,72783,143943,412564,626642,,
10/24/2025,129183,14864,6729,1000,32548,5257,5503,2346,4702,72769,147199,415264,629188,,
11/01/2025,130222,14923,6732,1000,32786,5278,5540,2375,4767,72772,153339,416760,637121,,